[0.01380202],[0.00131083],[0.03901141],[0.05573519],[0.00371646],[0.0018859],[2.7515473e-05],[0.97863921],[0.00421687],[0.02189379]
[0.04324525],[0.00124814],[0.58490611],[0.07177379],[0.00034518],[0.06056537],[0.16379445],[0.00049855],[0.00882968],[0.00031496]
[0.00024871],[0.92145776],[0.04361579],[0.01277831],[0.00289869],[0.00494891],[0.02669666],[0.03313505],[0.00518217],[0.00361592]
[0.97618237],[6.80790209e-05],[0.01553027],[0.00128398],[0.00034092],[0.0441167],[0.01400022],[0.02149135],[0.00358765],[0.00051565]
[0.00218567],[0.00081034],[0.01727381],[0.00035621],[0.92398495],[0.00710154],[0.02745551],[0.02597794],[0.01177531],[0.06808896]
[0.00014711],[0.95268644],[0.02804516],[0.03724835],[0.0027869],[0.00158253],[0.00620826],[0.06806491],[0.01348214],[0.00458333]
[0.0002935],[0.00332013],[0.00032839],[0.02495217],[0.89991396],[0.14206622],[0.00579581],[0.01376548],[0.03543963],[0.0211901]
[4.66445121e-05],[0.03039379],[0.00080621],[0.00522703],[0.03670563],[0.0423185],[0.01326206],[0.01330534],[0.03924895],[0.86630683]
[0.01684413],[0.00225554],[0.02947512],[1.19047535e-05],[0.07541513],[0.05457301],[0.67340364],[0.00057816],[0.00279956],[0.0103047]
[0.00206118],[0.00100092],[0.0002712],[0.00060164],[0.11891791],[0.00146336],[0.00809164],[0.18392962],[0.01060319],[0.75373996]
[0.85949342],[0.00046927],[0.06018009],[0.00612197],[0.00305052],[0.0549758],[0.00346398],[0.00268813],[0.00544449],[2.09094371e-05]
[0.01066332],[0.01248198],[0.07226074],[0.00052191],[0.07635887],[0.00207486],[0.55168135],[0.00194287],[0.00983123],[0.00053343]
[0.00087271],[0.00061933],[0.00130062],[0.00240825],[0.06447614],[0.00502875],[0.00255344],[0.0468162],[0.01687016],[0.90586456]
[0.94945342],[5.9697222e-05],[0.02818145],[0.00055026],[0.00090198],[0.03028091],[0.00510374],[0.0043577],[0.01935959],[0.00351707]
[3.52879267e-05],[0.94666503],[0.02420772],[0.09326272],[0.00049372],[0.01020588],[0.02650686],[0.01843894],[0.02469852],[0.03128504]
[0.01417346],[0.00209126],[0.00744563],[0.0275604],[0.01064264],[0.63903786],[0.00231745],[0.00285914],[0.03715954],[0.00018396]
[0.00233105],[0.0003716],[0.00535722],[0.00065654],[0.09575095],[0.00080976],[0.0076003],[0.15568727],[0.01056915],[0.88617166]
[0.03736318],[0.00151467],[0.03206215],[0.18328124],[0.00257342],[0.00080171],[7.4661285e-05],[0.98832593],[0.00055665],[0.00689654]
[0.00061829],[0.00174847],[0.0165692],[0.0399222],[0.01215825],[0.04361669],[0.02858592],[0.00569706],[0.00986543],[0.00396563]
[0.0005628],[0.00505131],[0.00126972],[0.00522172],[0.97552363],[0.03504889],[0.01668999],[0.00859048],[0.00357385],[0.03151144]
[0.009389],[0.0020852],[7.73847698e-05],[0.16807282],[0.01131512],[0.01055543],[0.00032006],[0.5131304],[0.02693399],[0.43818049]
[0.00515445],[0.00312125],[0.00503804],[0.00071309],[0.03141552],[0.23277339],[0.91269668],[0.00019654],[0.01259387],[0.01607842]
[0.0006203],[0.08470144],[0.0295662],[0.00040509],[0.19018371],[0.00030936],[0.82902706],[0.01581363],[0.0038435],[0.00462774]
[0.07623614],[0.00052295],[0.00083698],[0.0100584],[0.02708461],[0.89291553],[0.02265051],[0.00065416],[0.03432218],[0.00624212]
[0.00061585],[0.00291589],[0.00733063],[0.00106684],[0.94989955],[0.01455976],[0.0125452],[0.04067794],[0.00336004],[0.05155016]
[0.97108363],[3.42677613e-05],[0.00448577],[0.00022537],[0.00231559],[0.03141218],[0.00952824],[0.01095068],[0.0090719],[0.00024051]
[0.00726026],[0.00223825],[0.00433503],[0.01416232],[0.00431642],[0.00550336],[0.0002107],[0.96018476],[0.00224757],[0.05604966]
[0.00109265],[0.00105075],[0.00450536],[0.00084671],[0.9423291],[0.05041862],[0.01152379],[0.00610188],[0.00506599],[0.06913694]
[0.9694906],[4.18725549e-05],[0.02623354],[0.00659802],[0.00070922],[0.00812821],[0.00285613],[0.00767472],[0.01448571],[0.00076695]
[5.63810884e-05],[0.92989535],[0.00594956],[0.02262837],[0.00266411],[0.18148825],[0.06248632],[0.0076385],[0.01920616],[0.01417687]
[0.00168223],[0.00976901],[0.00055677],[0.93856194],[0.00087736],[0.12189305],[0.0009252],[0.12809538],[0.004593],[0.01410691]
[6.27081717e-05],[0.85922323],[0.00809154],[0.0837292],[0.0015509],[0.07330097],[0.01520702],[0.02798149],[0.01327038],[0.04169142]
[0.0016769],[0.00265253],[0.00223416],[0.90894644],[0.03075037],[0.31112138],[0.00115564],[0.00254332],[0.0249918],[0.0056813]
[0.33158954],[0.00030842],[0.01489911],[1.39500329e-05],[0.18029995],[0.19712643],[0.13232971],[0.00097676],[0.01133002],[0.00157124]
[0.00366251],[0.00551789],[0.11678295],[0.08806175],[0.00147731],[0.00084308],[1.00631254e-05],[0.93619676],[0.00262644],[0.03434113]
[0.02074203],[0.00177334],[0.95596018],[0.03095128],[0.00209478],[0.02962967],[0.01875181],[0.00294054],[0.01819729],[7.25398038e-05]
[0.00863555],[0.00115849],[0.0304343],[0.08542679],[0.00089086],[0.00543837],[0.00011334],[0.94996911],[0.00162579],[0.06187013]
[2.53567898e-05],[0.97576253],[0.00838497],[0.02721667],[0.00082548],[0.05599001],[0.02898338],[0.02625979],[0.02509605],[0.03724962]
[0.05050121],[0.00871714],[0.5529608],[0.05265587],[0.00010666],[0.09481397],[0.03868533],[0.00084525],[0.01795526],[0.00051815]
[5.61451865e-05],[0.92505781],[0.01608774],[0.05081785],[0.00081083],[0.00830353],[0.05844838],[0.00757933],[0.05954112],[0.02430094]
[0.00016777],[0.91914924],[0.02252536],[0.00979855],[0.00215896],[0.05189733],[0.04136134],[0.01187922],[0.00851614],[0.0108473]
[0.00189402],[0.00161373],[0.02422935],[0.01418202],[0.00222704],[0.00686319],[0.00024263],[0.90771513],[0.00483404],[0.20081262]
[1.86431834e-05],[0.07064194],[0.00253801],[0.00384243],[0.85414104],[0.00294313],[0.00170617],[0.02960759],[0.02762247],[0.18699513]
[0.00279335],[0.06888674],[0.86589635],[0.00949947],[0.07377133],[0.00241674],[0.01436483],[0.00139445],[0.05747824],[0.00169708]
[0.00054989],[0.04109831],[0.00585802],[0.50658196],[0.00172498],[0.1234838],[0.04976867],[0.0034769],[0.01033324],[0.00413765]
[0.07531256],[0.00158166],[0.00073095],[0.08683391],[0.01500667],[0.89935799],[0.01236699],[0.00041804],[0.06601275],[0.00435226]
[2.14466978e-05],[0.49475665],[0.01741611],[0.20825721],[0.0041219],[0.07037479],[0.01552328],[0.01139245],[0.03600755],[0.05246779]
[0.00602854],[0.00549183],[0.83984123],[0.00448861],[0.06850133],[0.00892174],[0.09871476],[0.00209632],[0.00699059],[0.00131801]
